,year,area,sector,jobtype,n_jobtype_area,n_sector_area,n_sector,n_area,n_year,20-64years_area,20-64years_year,n_jobtype_area_pc,n_sector_area_pc,n_area_pc,n_year_pc,FD_jobtype_area,FD_sector_area,FD_sector,FD_area,FD_year,RFD_jobtype_area,RFD_sector_area,RFD_sector,RFD_area,RFD_year,"GDP, 1000 DKK. (2010)",FD_GDP,RFD_GDP,AR_jobtype_area,AR_sector_area,AR_sector,AR_area,AR_year,RR_jobtype_area,RR_sector_area,RR_sector,RR_area,RR_year
0,2007,Capital Area,Trade,Childcare,234,29369,78377,157867,380597,1021591,3278570,0.000229054,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
1,2007,Capital Area,Trade,Delivery,1097,29369,78377,157867,380597,1021591,3278570,0.001073815,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
2,2007,Capital Area,Trade,Retail trade,15574,29369,78377,157867,380597,1021591,3278570,0.015244848,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
3,2007,Capital Area,Trade,Hair Dresser,335,29369,78377,157867,380597,1021591,3278570,0.00032792,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
4,2007,Capital Area,Trade,Hotel,6901,29369,78377,157867,380597,1021591,3278570,0.00675515,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
5,2007,Capital Area,Trade,Cleaning,2985,29369,78377,157867,380597,1021591,3278570,0.002921913,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
6,2007,Capital Area,Trade,Service,1790,29369,78377,157867,380597,1021591,3278570,0.001752169,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
7,2007,Capital Area,Trade,Security,580,29369,78377,157867,380597,1021591,3278570,0.000567742,0.028748296,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
8,2007,Capital Area,Industry,Tin,867,16285,61768,157867,380597,1021591,3278570,0.000848676,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
9,2007,Capital Area,Industry,Building,1493,16285,61768,157867,380597,1021591,3278570,0.001461446,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
10,2007,Capital Area,Industry,Electrician,1487,16285,61768,157867,380597,1021591,3278570,0.001455573,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
11,2007,Capital Area,Industry,Industry,1806,16285,61768,157867,380597,1021591,3278570,0.001767831,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
12,2007,Capital Area,Industry,Iron,1495,16285,61768,157867,380597,1021591,3278570,0.001463404,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
13,2007,Capital Area,Industry,Storage,2892,16285,61768,157867,380597,1021591,3278570,0.002830879,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
14,2007,Capital Area,Industry,Farming,510,16285,61768,157867,380597,1021591,3278570,0.000499221,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
15,2007,Capital Area,Industry,Painting,354,16285,61768,157867,380597,1021591,3278570,0.000346518,0.015940822,0.154530531,0.116086282,,,,,,,,,,,1879.008892,,,,,,,,,,,,
